Country or Area,Item,Year,Value
United Kingdom,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,4.34
Georgia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,12.67
Georgia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,11.57
Georgia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,12.05
Ghana,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,4.16
Ghana,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,4.12
Ghana,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,4.53
Gibraltar,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,
Gibraltar,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,
Gibraltar,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,
Guinea,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,4.19
Guinea,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,4.14
Guinea,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,4.35
"Gambia, The","Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,9.02
"Gambia, The","Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,8.94
"Gambia, The","Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,9.64
Guinea-Bissau,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,2.84
Guinea-Bissau,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,2.79
Guinea-Bissau,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,3.16
Equatorial Guinea,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,8.03
Equatorial Guinea,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,7.95
Equatorial Guinea,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,9.15
Greece,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,19.29
Greece,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,17.31
Greece,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,16.85
Grenada,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,
Grenada,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,
Grenada,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,
Greenland,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,
Greenland,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,
Greenland,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,
Guatemala,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,2.41
Guatemala,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,2.36
Guatemala,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,4.65
Guam,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,5.59
Guam,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,5.65
Guam,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,7.51
Guyana,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,14.02
Guyana,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,13.91
Guyana,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,15.82
High income,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,5.08744993466548
High income,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,4.79877205228422
High income,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,6.80848180084402
"Hong Kong SAR, China","Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,3.04
"Hong Kong SAR, China","Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,2.96
"Hong Kong SAR, China","Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,5.8
Honduras,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,5.65
Honduras,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,5.57
Honduras,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,9.39
Heavily indebted poor countries (HIPC),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,4.46342579456075
Heavily indebted poor countries (HIPC),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,4.41401027624877
Heavily indebted poor countries (HIPC),"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,4.93540260825607
Croatia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,8.43
Croatia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,6.62
Croatia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,7.2
Haiti,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,13.58
Haiti,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,13.48
Haiti,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,14.5
Hungary,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,3.71
Hungary,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,3.42
Hungary,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,4.35
IBRD only,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,5.65539078821484
IBRD only,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,5.74950866132192
IBRD only,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,6.74643779147216
IDA & IBRD total,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,5.44634511004526
IDA & IBRD total,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,5.50567561641781
IDA & IBRD total,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,6.41504866215236
IDA total,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,4.71702157032374
IDA total,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,4.67138933584337
IDA total,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,5.30601636303798
IDA blend,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,5.45032810332462
IDA blend,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,5.4376438927621
IDA blend,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,5.95636734066672
Indonesia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,4.4
Indonesia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,3.62
Indonesia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,4.11
IDA only,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,4.39017613337952
IDA only,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,4.32817325645194
IDA only,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,5.01630906455001
Isle of Man,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,
Isle of Man,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,
Isle of Man,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,
India,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,5.33
India,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,5.27
India,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,7.11
Not classified,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,
Not classified,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,
Not classified,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,
Ireland,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,5.74
Ireland,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,4.95
Ireland,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,5.92
"Iran, Islamic Rep.","Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,12.06
"Iran, Islamic Rep.","Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,11.14
"Iran, Islamic Rep.","Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,10.96
Iraq,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,12.87
Iraq,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,12.76
Iraq,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,13.74
Iceland,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,2.7
Iceland,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,3.51
Iceland,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,5.01
Israel,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,4
Israel,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,3.8
Israel,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,4.61
Italy,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,10.61
Italy,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,9.95
Italy,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,9.31
Jamaica,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,9.1
Jamaica,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,7.72
Jamaica,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,8.4
Jordan,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,16.29
Jordan,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,16.85
Jordan,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,18.5
Japan,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,2.4
Japan,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,2.4
Japan,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,2.97
Kazakhstan,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,4.85
Kazakhstan,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,4.8
Kazakhstan,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,6.05
Kenya,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,2.64
Kenya,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,2.6
Kenya,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,2.98
Kyrgyz Republic,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,6.79
Kyrgyz Republic,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,6.72
Kyrgyz Republic,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,7.89
Cambodia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,0.13
Cambodia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,0.13
Cambodia,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,0.31
Kiribati,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,
Kiribati,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,
Kiribati,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,
St. Kitts and Nevis,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,
St. Kitts and Nevis,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,
St. Kitts and Nevis,"Unemployment, total (% of total labor force) (modeled ILO estimate)",2020,
"Korea, Rep.","Unemployment, total (% of total labor force) (modeled ILO estimate)",2018,3.82
"Korea, Rep.","Unemployment, total (% of total labor force) (modeled ILO estimate)",2019,3.75
